Activity,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_min,acc_rh_x_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_min,acc_rh_y_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_min,acc_rh_z_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_min,gyro_rh_x_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_min,gyro_rh_y_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_min,gyro_rh_z_std
circle,0.379345,1.62505,0.981428046875,1.017365,1.62505,0.2104850248609543,0.2619125,0.48952,0.081978125,0.06592,0.48952,0.16250271825971674,0.09174,0.53005,0.25695617187500003,0.25001,0.53005,0.08088202495688834,17.98113,15.73992,-11.244759375,-9.84985,15.73992,18.884932623250773,19.0893325,49.98932,-2.989264453125,-4.50911,49.98932,13.325083556127613,39.05987500000001,76.02924,8.130559609375,6.908625000000002,76.02924,27.557760533335177
circle,0.374275,1.51079,1.011006328125,1.05863,1.51079,0.21140960092270786,0.2606875,0.42994,0.05724265625000001,0.03247,0.42994,0.1744723413497662,0.09772,0.42531,0.24804078125,0.243905,0.42531,0.07417737007092964,16.684085000000003,22.93466,-6.497581562499999,-4.6769599999999985,22.93466,14.096877941368982,25.372322500000006,41.64251,-0.390839609375,-2.9412200000000004,41.64251,16.631927569788186,35.6303575,61.07516999999999,0.15694312499999974,-0.39674,61.07516999999999,26.95682721879233
circle,0.37611000000000017,1.51079,0.996223828125,1.0003950000000001,1.51079,0.2034337197464489,0.30151999999999995,0.43922,0.07302875,0.09607,0.43922,0.18918869793558624,0.08136749999999998,0.42531,0.22389296875,0.20667,0.42531,0.06524144491760221,16.8576625,24.24696,-5.852997265625,-5.7832550000000005,24.24696,14.458689034160702,26.177255,41.64251,-0.5555320312499998,-3.776665,41.64251,17.137009022044055,30.0359425,61.07516999999999,2.624233828125,3.73089,61.07516999999999,22.01238719026141
circle,0.3300875,1.429,1.029356796875,1.037755,1.429,0.2035111857296393,0.34291249999999995,0.43922,0.08046554687500003,0.12891,0.43922,0.21133924077626576,0.09204249999999994,0.49245,0.23608734375,0.224005,0.49245,0.07099787413723622,14.9159225,24.24696,-7.90912203125,-7.7021099999999985,24.24696,13.721446858183494,26.1410125,37.52251,-0.5896271093749998,-2.04474,37.52251,15.878359562673024,31.964322499999998,46.08295,1.2306946875000002,1.4000350000000001,46.08295,20.89165046406095
circle,0.456005,1.429,1.002225703125,0.960725,1.429,0.2502774518462073,0.380625,0.45265,0.045773515625,0.07104500000000001,0.45265,0.2390732531947251,0.093875,0.49245,0.2483690625,0.23438499999999998,0.49245,0.07756544827633367,19.95148,39.03317,-7.41069234375,-4.78759,39.03317,18.26971359413136,27.88438,37.52251,-0.2942773437499998,0.35096,37.52251,18.79808815967117,38.89202750000001,46.08295,2.9858667968750003,8.186589999999999,46.08295,25.389369138794578
circle,0.45326000000000005,1.49004,1.0044176562499998,0.9629200000000001,1.49004,0.2521027213492435,0.37611,0.45265,0.043650937500000014,0.06506500000000001,0.45265,0.246526568168998,0.11768500000000005,0.45607,0.24387875,0.23463,0.45607,0.10104608786804913,32.17223,61.58635,-6.259751328124999,-3.89111,61.58635,24.660970454977196,34.74723,52.28584,-1.080248359375,-2.28126,52.28584,22.145434852652755,31.9109125,44.25947,0.5464126562500002,6.3859949999999985,44.25947,27.415590387238513
circle,0.4047975,1.49004,0.989318671875,0.93814,1.49004,0.2294445393818348,0.3877075,0.39406,0.06145109375,0.053715,0.39406,0.2263189011841007,0.109865,0.4250600000000001,0.244155625,0.238165,0.4250600000000001,0.09664986268703064,31.43597,61.58635,-5.99033046875,-2.3842600000000003,61.58635,23.370675031519493,29.8318475,52.28584,0.826085859375,-0.34714500000000004,52.28584,19.665829765432033,37.37564,48.89065,0.32777609375000016,4.68078,48.89065,25.9377792318691
circle,0.45509499999999997,1.44829,0.999999765625,0.96414,1.44829,0.2414685519814927,0.3638425,0.44777,0.074198046875,0.090335,0.44777,0.2355981887168364,0.11334499999999995,0.50636,0.25842484375,0.24243499999999998,0.50636,0.07852105824220396,26.0036725,22.97281,-7.680769765625,-4.2764050000000005,22.97281,20.499274889056462,25.690865,33.89843,-0.03844625000000007,-1.7281099999999998,33.89843,16.639735010670385,38.92445000000001,48.89065,4.3069246093750015,6.00833,48.89065,22.776502949285156
circle,0.4298849999999999,1.52226,1.018702109375,0.99051,1.52226,0.24321228462642835,0.3202025,0.70632,0.042426484375,0.042845,0.70632,0.22581304642402006,0.10107999999999998,0.7610100000000001,0.284321640625,0.27149,0.7610100000000001,0.08450809493194779,22.07442,50.8591,-6.791619921875,-3.7156300000000004,50.8591,18.61868524088005,27.821435,33.89843,0.06103679687499995,-2.06,33.89843,17.41404201440917,32.4221,38.04132,-0.7863288281249994,-1.36952,38.04132,21.842086380546128
circle,0.4197500000000003,1.52226,0.984931796875,0.95181,1.52226,0.2335641439681025,0.293955,0.70632,0.06855242187499999,0.102665,0.70632,0.19927842794671924,0.10968500000000003,0.7610100000000001,0.27982046875,0.26673,0.7610100000000001,0.08117020168736662,18.711660000000002,50.8591,-2.5500833593750003,-1.26652,50.8591,14.772081589709833,25.832015,33.39488,-2.316664921875,-4.03989,33.39488,17.078572938426518,32.847455,68.71243,0.04905585937500012,-2.72378,68.71243,22.921982993607344
circle,0.4247000000000001,1.4124,1.0305340625,1.050325,1.4124,0.2196167916986224,0.298225,0.40895,0.09541046875,0.13965,0.40895,0.18450336505594625,0.11548000000000005,0.43825,0.28333914062500004,0.274665,0.43825,0.07051315713914832,23.844492499999998,30.693990000000003,-7.1213032031250005,-5.34074,30.693990000000003,16.06005892810148,27.279729999999997,33.57036,-3.19341640625,-6.519515,33.57036,17.43146243385746,33.5512875,68.71243,-1.6472842187500003,-5.21485,68.71243,24.465534990138675
