Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
uptodown,0.47832,0.106,0.98109,1.0,1.0,1.0,0.57308,0.60782,0.4548,0.80846,0.36245,0.36245,0.19292,0.15632,0.29441,0.17677,0.21927,0.21927,0.78978,0.8673,0.6703,0.53587,0.64302,0.64302,0.83496,0.41246,0.92206,0.81525,1.0,1.0,0.63271,0.62629,0.2574,0.27549,0.17671,0.17671
uptodown,0.29651,0.18753,0.78726,0.78529,1.0,1.0,0.64855,0.66897,0.43123,0.75318,0.36245,0.36245,0.27602,0.16712,0.43946,0.43872,0.15585,0.15585,0.54657,0.77585,0.96232,0.63785,0.64302,0.64302,0.65273,0.35874,0.83903,0.56398,1.0,1.0,0.4863,0.37772,0.22687,0.01764,0.24123,0.24123
uptodown,0.44268,0.39073,0.67743,0.68703,0.80239,0.80239,0.7094,0.75588,0.30538,0.59833,0.25991,0.25991,0.35662,0.21131,0.67024,0.63828,0.24401,0.24401,0.42082,0.62187,0.96051,0.70201,0.4141,0.4141,0.64715,0.40232,0.82815,0.77014,1.0,1.0,0.38403,0.36293,0.23468,0.07454,0.24123,0.24123
uptodown,0.40887,0.30203,0.63897,0.61624,0.80239,0.80239,0.72364,0.76715,0.22734,0.30728,0.25991,0.25991,0.32487,0.16343,0.6622,0.61916,0.24401,0.24401,0.37084,0.46267,0.57662,0.57941,0.16601,0.16601,0.86682,0.76972,0.78181,0.76418,1.0,1.0,0.55536,0.60326,0.18463,0.29754,0.15285,0.15285
uptodown,0.41038,0.38193,0.61862,0.48797,0.74956,0.74956,0.76522,0.78541,0.23097,0.26773,0.25292,0.25292,0.37329,0.23696,0.79024,0.68556,0.23628,0.23628,0.24026,0.40314,0.64964,0.6506,0.11909,0.11909,0.69229,0.57181,0.85586,0.80554,1.0,1.0,0.40523,0.35701,0.20989,0.3316,0.09977,0.09977
uptodown,0.35753,0.39072,0.73139,0.66259,1.0,1.0,0.85935,0.86695,0.4531,0.56753,0.43703,0.43703,0.39498,0.35372,0.87738,0.71302,0.24594,0.24594,0.27137,0.49888,0.88282,1.0,0.2263,0.2263,0.70061,0.28049,0.96682,0.89864,1.0,1.0,0.51744,0.25893,0.47702,0.54107,0.45293,0.45293
uptodown,0.12636,0.07386,0.885,0.77034,1.0,1.0,0.8274,0.84225,0.51283,0.55702,0.43703,0.43703,0.32823,0.24189,0.80433,0.61809,0.24594,0.24594,0.28417,0.38373,0.93699,0.92498,0.38633,0.38633,0.88109,0.58937,0.87075,0.75498,1.0,1.0,0.77167,0.6394,0.46234,0.46585,0.45293,0.45293
uptodown,0.46354,0.3509,0.87684,0.81297,1.0,1.0,0.7947,0.84817,0.37737,0.47209,0.33659,0.33659,0.35913,0.28514,0.76251,0.51694,0.20573,0.20573,0.1494,0.22359,0.93151,0.91766,0.38633,0.38633,0.8717,0.60747,0.87867,0.73989,1.0,1.0,0.75118,0.64912,0.4194,0.68077,0.43652,0.43652
uptodown,0.30513,0.21417,0.8206,0.60795,1.0,1.0,0.78756,0.81811,0.57849,0.60997,0.54148,0.54148,0.37876,0.34044,0.87571,0.50215,0.45129,0.45129,0.07781,0.12486,0.80534,0.85435,0.48719,0.48719,0.9909,0.78234,0.93974,0.82404,1.0,1.0,0.89849,0.90826,0.71409,0.89275,1.0,1.0
uptodown,0.39271,0.42751,0.91154,0.81529,1.0,1.0,0.80032,0.79666,0.68376,0.88528,0.54148,0.54148,0.42712,0.43868,0.81634,0.57517,0.45129,0.45129,0.0,0.0,0.65687,0.64649,0.48719,0.48719,1.0,1.0,0.80801,0.66027,1.0,1.0,0.82234,0.83323,0.63847,0.64556,1.0,1.0
uptodown,0.48463,0.75948,0.76658,0.65269,1.0,1.0,0.70683,0.71349,1.0,0.70082,0.53118,0.53118,0.45707,0.42014,0.74148,0.68103,0.43968,0.43968,0.137,0.20885,0.79588,0.8687,0.24182,0.24182,0.94521,0.95093,0.68015,0.57185,1.0,1.0,0.60403,0.59417,0.41329,0.56012,0.41081,0.41081
uptodown,0.25862,0.43136,0.41265,0.37355,0.79125,0.79125,0.43073,0.44581,0.86705,0.50457,0.36104,0.36104,0.3679,0.3012,0.56004,0.32209,0.43968,0.43968,0.49732,0.64688,0.66165,0.52515,0.24182,0.24182,0.53552,0.30384,0.63316,0.46932,1.0,1.0,0.44187,0.45255,0.32741,0.42427,0.41081,0.41081
uptodown,0.56668,0.53734,0.31323,0.3476,0.20596,0.20596,0.31048,0.30152,0.12048,0.2514,0.12542,0.12542,0.31149,0.26815,0.0,0.0,0.05917,0.05917,0.56084,0.65752,0.35751,0.14147,0.23266,0.23266,0.0,0.07466,0.10463,0.0,0.19546,0.19546,0.30049,0.45191,0.13167,0.26539,0.24347,0.24347
uptodown,0.6914,0.65266,0.43649,0.46788,0.23651,0.23651,0.45538,0.4238,0.2916,0.62282,0.20454,0.20454,0.27954,0.24714,0.10218,0.15714,0.05917,0.05917,0.57106,0.75588,0.42471,0.19044,0.57543,0.57543,0.06128,0.11659,0.10215,0.01414,0.3452,0.3452,0.10857,0.17607,0.29395,0.33919,0.24347,0.24347
uptodown,0.74262,0.68123,0.48521,0.52372,0.80487,0.80487,0.43393,0.43828,0.35816,0.75842,0.20454,0.20454,0.30581,0.21903,0.31449,0.30712,0.38206,0.38206,0.69459,0.78089,0.42938,0.14593,0.57543,0.57543,0.39586,0.2818,0.43084,0.27697,0.82178,0.82178,0.15765,0.17227,0.3373,0.26527,0.30328,0.30328
uptodown,0.71873,0.68369,0.4592,0.47646,0.80487,0.80487,0.17323,0.17113,0.28192,0.72345,0.17292,0.17292,0.34632,0.24344,0.40952,0.49313,0.38206,0.38206,0.69655,0.67544,0.71503,0.45681,1.0,1.0,0.49884,0.21573,0.53064,0.36064,1.0,1.0,0.48513,0.49376,0.24758,0.27476,0.30328,0.30328
uptodown,0.62233,0.66777,0.55667,0.52625,0.52873,0.52873,0.24204,0.27306,0.30184,0.55988,0.25572,0.25572,0.39482,0.24065,0.60386,0.5717,0.30085,0.30085,0.48962,0.42553,0.87393,0.49178,1.0,1.0,0.34573,0.107,0.71966,0.33559,1.0,1.0,0.32405,0.25238,0.20029,0.24512,0.25038,0.25038
uptodown,0.40969,0.61999,0.63926,0.57169,0.83542,0.83542,0.43586,0.42435,0.35246,0.61409,0.30131,0.30131,0.45182,0.26042,0.85587,0.86599,0.51315,0.51315,0.38211,0.48358,0.75567,0.3921,0.38605,0.38605,0.35838,0.0,0.92659,0.78822,1.0,1.0,0.06546,0.01036,0.22826,0.08716,0.25038,0.25038
uptodown,0.28652,0.37837,0.66706,0.64502,0.83542,0.83542,0.52359,0.52949,0.36666,0.56691,0.30131,0.30131,0.39155,0.19031,0.7485,0.65897,0.51315,0.51315,0.55759,0.5586,0.70005,0.29361,0.31754,0.31754,0.38971,0.15149,0.81008,0.73622,1.0,1.0,0.12972,0.30205,0.30977,0.35009,0.21315,0.21315
uptodown,0.65445,0.5994,0.59255,0.6538,0.77349,0.77349,0.41262,0.48282,0.36614,0.81485,0.1703,0.1703,0.28841,0.23386,0.29845,0.19224,0.25213,0.25213,0.57985,0.4916,0.52823,0.28546,0.31679,0.31679,0.29172,0.22008,0.41786,0.17264,0.8774,0.8774,0.17228,0.40224,0.2961,0.29436,0.16398,0.16398
uptodown,0.70625,0.74162,0.54209,0.64068,0.87669,0.87669,0.27869,0.38732,0.36426,0.88006,0.16122,0.16122,0.24571,0.19833,0.28408,0.24977,0.04332,0.04332,0.74365,0.68029,0.38006,0.32056,0.31595,0.31595,0.32919,0.22249,0.38381,0.17714,1.0,1.0,0.05324,0.22321,0.26272,0.15159,0.16398,0.16398
uptodown,0.39898,0.11669,0.69851,0.65703,0.9514,0.9514,0.28651,0.34012,0.33221,0.75954,0.16122,0.16122,0.3369,0.15076,0.67655,0.53362,0.25058,0.25058,0.84149,0.8505,0.39657,0.2594,0.23004,0.23004,0.53289,0.21742,0.62403,0.5046,1.0,1.0,0.07406,0.2287,0.23837,0.47198,0.02081,0.02081
uptodown,0.41679,0.134,0.68975,0.6635,0.9514,0.9514,0.32482,0.30688,0.30573,0.80501,0.15301,0.15301,0.39141,0.20111,0.64843,0.58423,0.25058,0.25058,0.69614,0.71015,0.32974,0.1451,0.20742,0.20742,0.66618,0.42008,0.68305,0.5976,1.0,1.0,0.31761,0.58698,0.18608,0.17143,0.13788,0.13788
uptodown,0.58471,0.45387,0.69423,0.6951,1.0,1.0,0.43096,0.47315,0.36421,0.65829,0.26969,0.26969,0.46591,0.23324,0.64023,0.59916,0.35306,0.35306,0.66497,0.70474,0.23833,0.05301,0.22602,0.22602,0.67962,0.42008,0.74693,0.69964,1.0,1.0,0.45127,0.46967,0.16472,0.0335,0.15948,0.15948
uptodown,0.4691,0.28694,0.76363,0.78125,1.0,1.0,0.45471,0.50697,0.36241,0.51923,0.26969,0.26969,0.57891,0.32067,0.76784,0.75298,0.37742,0.37742,0.54448,0.69597,0.40352,0.16425,0.22602,0.22602,0.58267,0.21446,0.82682,0.60413,1.0,1.0,0.36709,0.33862,0.15435,0.14246,0.15948,0.15948
uptodown,0.39506,0.18424,0.8376,0.72803,1.0,1.0,0.38896,0.43938,0.62825,0.674,0.75249,0.75249,0.55339,0.35805,0.6986,0.58891,0.6574,0.6574,0.65897,0.78275,0.53367,0.38277,0.33081,0.33081,0.64448,0.29677,0.84597,0.76648,1.0,1.0,0.45689,0.52737,0.15226,0.11668,0.13427,0.13427
uptodown,0.81184,0.63893,0.8017,0.776,1.0,1.0,0.43304,0.49141,0.6511,0.81602,0.75249,0.75249,0.60026,0.51066,0.36238,0.23951,0.6574,0.6574,0.70763,0.69802,0.48187,0.48683,0.33081,0.33081,0.57589,0.24656,0.7277,0.56596,1.0,1.0,0.2897,0.3792,0.20065,0.22172,0.13427,0.13427
uptodown,0.72934,0.34871,0.75513,0.75803,0.8998,0.8998,0.54266,0.56974,0.36955,0.57389,0.21449,0.21449,0.5878,0.54309,0.4351,0.4262,0.60093,0.60093,0.49108,0.56588,0.4903,0.30775,0.15966,0.15966,0.52547,0.22815,0.66708,0.53266,1.0,1.0,0.03945,0.23568,0.10136,0.08722,0.07743,0.07743
uptodown,0.5057,0.24245,0.63339,0.57028,0.81561,0.81561,0.50389,0.49088,0.27497,0.31839,0.21449,0.21449,0.47687,0.40284,0.53671,0.50112,0.60093,0.60093,0.53874,0.69653,0.32181,0.05754,0.15966,0.15966,0.5595,0.32618,0.56687,0.35191,1.0,1.0,0.31608,0.41873,0.06921,0.0,0.09796,0.09796
uptodown,0.73609,0.41296,0.60944,0.53625,1.0,1.0,0.44112,0.44689,0.28329,0.38937,0.28227,0.28227,0.53916,0.43064,0.47074,0.35373,0.58276,0.58276,0.70842,0.73852,0.26728,0.13674,0.18134,0.18134,0.58748,0.39946,0.52718,0.37546,1.0,1.0,0.57934,0.5595,0.28188,0.2894,0.34139,0.34139
uptodown,0.82136,0.5541,0.55588,0.43223,1.0,1.0,0.6122,0.66897,0.33848,0.55873,0.28227,0.28227,0.57772,0.40439,0.38313,0.31791,0.58276,0.58276,0.79017,0.89959,0.26808,0.18174,0.18134,0.18134,0.3837,0.2978,0.44089,0.21022,1.0,1.0,0.40301,0.44895,0.28727,0.23899,0.34139,0.34139
uptodown,0.71572,0.57524,0.25173,0.26429,0.45402,0.45402,0.71723,0.76983,0.12905,0.25667,0.22585,0.22585,0.5496,0.39605,0.1597,0.24455,0.13187,0.13187,0.68291,0.77884,0.02422,0.01491,0.0,0.0,0.05701,0.14725,0.03676,0.02623,0.0,0.0,0.2347,0.31938,0.01235,0.10204,0.0,0.0
uptodown,0.60957,0.47995,0.34978,0.30448,1.0,1.0,0.66518,0.67488,0.26799,0.46387,0.48838,0.48838,0.53678,0.3809,0.25468,0.31391,0.28151,0.28151,0.6507,0.74561,0.20085,0.05329,0.21565,0.21565,0.13243,0.12738,0.27547,0.13414,0.81799,0.81799,0.19917,0.1803,0.0,0.16108,0.01369,0.01369
uptodown,0.79277,0.50494,0.54272,0.54131,1.0,1.0,0.68369,0.65878,0.35386,0.56748,0.48838,0.48838,0.51492,0.35125,0.34753,0.43733,0.28151,0.28151,0.56968,0.80739,0.56976,0.32941,0.21565,0.21565,0.34134,0.2487,0.48915,0.40953,0.83056,0.83056,0.06555,0.16085,0.08919,0.16415,0.13852,0.13852
