Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
circle,0.36022,0.15985,0.18739,0.17294,0.35548,0.35548,0.36147,0.31718,0.14466,0.1579,0.12919,0.12919,0.33923,0.49263,0.14815,0.09386,0.16733,0.16733,0.49065,0.52744,0.38224,0.2793,0.60556,0.60556,0.6214,0.65304,0.23906,0.19939,0.42554,0.42554,0.38182,0.47673,0.32749,0.32462,0.19444,0.19444
circle,0.43263,0.24874,0.20721,0.21205,0.30271,0.30271,0.40058,0.41037,0.15722,0.13999,0.17062,0.17062,0.38809,0.50434,0.09529,0.09972,0.28715,0.28715,0.34557,0.45286,0.29053,0.18913,0.11902,0.11902,0.52254,0.56748,0.1796,0.15787,0.21857,0.21857,0.61245,0.52235,0.23769,0.35233,0.19444,0.19444
circle,0.55941,0.3389,0.21009,0.19245,0.3962,0.3962,0.30309,0.28952,0.14397,0.10723,0.37005,0.37005,0.47675,0.58405,0.11275,0.07906,0.66247,0.66247,0.42188,0.47497,0.23047,0.12392,0.47039,0.47039,0.53391,0.54692,0.19482,0.17923,0.21857,0.21857,0.31724,0.26878,0.21115,0.23601,0.08798,0.08798
circle,0.33048,0.20659,0.19418,0.18457,0.3962,0.3962,0.38326,0.44175,0.10805,0.08752,0.37005,0.37005,0.46134,0.57099,0.10302,0.09356,0.66247,0.66247,0.78591,0.57149,0.10761,0.0681,0.47039,0.47039,0.26202,0.42425,0.18822,0.15929,0.2129,0.2129,0.36566,0.22224,0.24182,0.24362,0.38896,0.38896
circle,0.63961,0.5434,0.17118,0.18842,0.25735,0.25735,0.46567,0.53587,0.08804,0.09073,0.14068,0.14068,0.47339,0.59276,0.07195,0.10332,0.18677,0.18677,0.39359,0.41092,0.14875,0.1533,0.2163,0.2163,0.16176,0.27062,0.19516,0.1738,0.21487,0.21487,0.26734,0.13662,0.28567,0.25621,0.38896,0.38896
circle,0.47375,0.39606,0.15355,0.13354,0.60757,0.60757,0.381,0.28145,0.05215,0.05082,0.29924,0.29924,0.43148,0.56397,0.06554,0.05366,0.16086,0.16086,0.27228,0.2129,0.13871,0.05123,0.91473,0.91473,0.64066,0.62964,0.22362,0.20375,0.72157,0.72157,0.42517,0.38193,0.3035,0.22885,0.13133,0.13133
circle,0.33229,0.32387,0.1567,0.12044,0.60757,0.60757,0.44088,0.34794,0.07558,0.06352,0.29924,0.29924,0.34796,0.52276,0.0377,0.02313,0.11156,0.11156,0.55223,0.27815,0.10178,0.03771,0.91473,0.91473,0.38758,0.53888,0.23251,0.22844,0.72157,0.72157,0.61822,0.52406,0.28293,0.25812,0.22432,0.22432
circle,0.5618,0.51084,0.14957,0.12343,0.21261,0.21261,0.45461,0.43772,0.10247,0.0839,0.24086,0.24086,0.37065,0.52511,0.05427,0.03239,0.23138,0.23138,0.34024,0.39693,0.26582,0.09583,0.60584,0.60584,0.34919,0.5091,0.18291,0.18076,0.24433,0.24433,0.42309,0.17438,0.30886,0.26078,0.49888,0.49888
circle,0.37244,0.29799,0.12533,0.12969,0.21261,0.21261,0.42433,0.36968,0.08712,0.07258,0.24086,0.24086,0.35449,0.50134,0.05626,0.0401,0.23138,0.23138,0.45862,0.47361,0.26017,0.06965,0.60584,0.60584,0.54185,0.57859,0.15643,0.19761,0.24433,0.24433,0.44282,0.27154,0.2548,0.27266,0.49888,0.49888
circle,0.47544,0.30758,0.14336,0.13862,0.26692,0.26692,0.4865,0.53867,0.10898,0.0976,0.22203,0.22203,0.33659,0.46718,0.0715,0.08184,0.18605,0.18605,0.33639,0.44384,0.29579,0.12487,0.48894,0.48894,0.38167,0.49775,0.15425,0.1515,0.28659,0.28659,0.54674,0.42258,0.36144,0.26778,0.37788,0.37788
circle,0.4701,0.41403,0.17404,0.16757,0.26692,0.26692,0.40334,0.51071,0.13637,0.13041,0.22203,0.22203,0.37474,0.51139,0.07677,0.08677,0.18605,0.18605,0.27089,0.27755,0.32345,0.14364,0.48894,0.48894,0.54675,0.65871,0.13133,0.12813,0.28659,0.28659,0.48064,0.20401,0.34843,0.18619,0.37788,0.37788
